SubjectID,Face_L1_R2,Face_L1_R4,Face_L1_R8,Face_L1_R16,Face_L1_R32,Face_L2_R2,Face_L2_R4,Face_L2_R8,Face_L2_R16,Face_L2_R32,Face_L3_R2,Face_L3_R4,Face_L3_R8,Face_L3_R16,Face_L3_R32,Object_L1_R2,Object_L1_R4,Object_L1_R8,Object_L1_R16,Object_L1_R32,Object_L2_R2,Object_L2_R4,Object_L2_R8,Object_L2_R16,Object_L2_R32,Object_L3_R2,Object_L3_R4,Object_L3_R8,Object_L3_R16,Object_L3_R32
24,0.125460332733795,0.260401197171086,0.241981301084449,0.0433579554335557,0.062607004563852,0.236598457414235,0.131316487482294,0.148404507513953,0.133884952440888,0.198170835586194,0.143785341517723,0.10664795978986,0.247451600955183,0.0476383241819088,0.0519182966291944,0.235460317553371,0.0544850494166494,0.0816248439363885,0.0352915457384246,0.16867070721347,0.0758831109622067,0.155870461272533,0.0613340666838326,0.0325976249457577,0.0640912313016105,0.204013583718536,0.134494031300374,0.0931169956455458,0.185477094556178,0.192884804357691
25,0.110656464059354,0.245597328496645,0.227177432410008,0.0285540867591146,0.0478031358894109,0.221794588739794,0.116512618807853,0.133600638839512,0.119081083766447,0.183366966911753,0.128981472843282,0.0918440911154188,0.232647732280742,0.0328344555074678,0.0371144279547534,0.22065644887893,0.0692889180910905,0.0668209752619475,0.0204876770639836,0.153866838539029,0.0906869796366477,0.141066592598092,0.0465301980093915,0.0474014936201987,0.0788950999760516,0.189209715044095,0.119690162625933,0.0783131269711048,0.170673225881737,0.17808093568325
26,0.23891314716442,0.373854011601711,0.355434115515074,0.156810769864181,0.176059818994477,0.35005127184486,0.244769301912919,0.261857321944578,0.247337766871513,0.311623650016819,0.257238155948348,0.220100774220485,0.360904415385808,0.161091138612534,0.165371111059819,0.348913131983996,0.0589677650139755,0.195077658367013,0.14874436016905,0.282123521644095,0.0375697034684183,0.269323275703158,0.174786881114458,0.0808551894848673,0.0493615831290144,0.317466398149161,0.247946845730999,0.206569810076171,0.298929908986803,0.306337618788316
27,0.0313276912477715,0.10361317318952,0.0851932771028825,0.11343006854801,0.0941810194177141,0.0798104334326685,0.025471536499272,0.00838351646761348,0.022903071540678,0.0413828116046276,0.0130026824638432,0.0501400641917062,0.0906635769736169,0.109149699799657,0.104869727352372,0.0786722935718051,0.211273073398215,0.0751631800451775,0.121496478243141,0.0118826832319038,0.232671134943773,0.000917562709033148,0.0954539572977335,0.189385648927324,0.220879255283177,0.0472255597369703,0.0222939926811921,0.0636710283360202,0.0286890705746124,0.0360967803761251
28,6.48012054594305e-05,0.134876063231832,0.116456167145195,0.0821671785056983,0.062918129375402,0.111073323474981,0.00579135354304,0.0228793735746985,0.00835981850163403,0.0726457016469396,0.0182602075784688,0.0188771741493942,0.121926467015929,0.0778868097573452,0.0736068373100596,0.109935183614117,0.180010183355903,0.0439002900028655,0.0902335882008294,0.0431455732742158,0.201408244901461,0.0303453273332789,0.0641910672554215,0.158122758885012,0.189616365240865,0.0784884497792824,0.00896889736111989,0.0324081382937082,0.0599519606169244,0.0673596704184372
29,0.302686201729417,0.437627066166708,0.419207170080071,0.220583824429178,0.239832873559474,0.413824326409857,0.308542356477916,0.325630376509575,0.31111082143651,0.375396704581816,0.321011210513345,0.283873828785482,0.424677469950805,0.224864193177531,0.229144165624816,0.412686186548993,0.122740819578973,0.258850712932011,0.212517414734047,0.345896576209092,0.101342758033415,0.333096330268155,0.238559935679455,0.144628244049864,0.113134637694011,0.381239452714158,0.311719900295996,0.270342864641168,0.3627029635518,0.370110673353313
30,0.0613745308208246,0.196315395258116,0.177895499171479,0.0207278464794143,0.00147879734911804,0.172512655501265,0.067230685569324,0.0843187056009825,0.069799150527918,0.134085033673224,0.0796995396047528,0.0425621578768898,0.183365799042213,0.0164474777310612,0.0121675052837756,0.171374515640401,0.118570851329619,0.0175390420234185,0.0287942561745454,0.1045849053005,0.139968912875177,0.0917846593595629,0.00275173522913746,0.0966834268587277,0.128177033214581,0.139927781805566,0.0704082293874039,0.0290311937325758,0.121391292643208,0.128799002444721
31,0.0426441825122416,0.177585046949533,0.159165150862896,0.0394581947879973,0.020209145657701,0.153782307192682,0.048500337260741,0.0655883572923995,0.051068802219335,0.115354685364641,0.0609691912961698,0.0238318095683068,0.16463545073363,0.0351778260396442,0.0308978535923586,0.152644167331818,0.137301199638202,0.00119130628516451,0.0475246044831284,0.0858545569919168,0.15869926118376,0.0730543110509799,0.0214820835377205,0.115413775167311,0.146907381523164,0.121197433496983,0.0516778810788209,0.0103008454239928,0.102660944334625,0.110068654136138
32,0.00995614608337753,0.144897010520669,0.126477114434032,0.0721462312168614,0.0528971820865651,0.121094270763818,0.015812300831877,0.0329003208635355,0.018380765790471,0.0826666489357766,0.0282811548673058,0.0088562268605572,0.131947414304766,0.0678658624685082,0.0635858900212226,0.119956130902954,0.169989236067067,0.0338793427140285,0.0802126409119924,0.0531665205630528,0.191387297612624,0.0403662746221158,0.0541701199665845,0.148101811596175,0.179595417952028,0.0885093970681193,0.0189898446499568,0.0223871910048712,0.0699729079057614,0.0773806177072741
33,0.0863270062217196,0.221267870659011,0.202847974572374,0.00422462892148068,0.023473678051777,0.19746513090216,0.092183160970219,0.109271181001878,0.094751625928813,0.159037509074119,0.104652015005648,0.0675146332777848,0.208318274443108,0.00850499766983381,0.0127849701171194,0.196326991041296,0.0936183759287245,0.0424915174243135,0.00384178077365038,0.129537380701395,0.115016437474282,0.116737134760458,0.0222007401717575,0.0717309514578327,0.103224557813686,0.164880257206461,0.0953607047882989,0.0539836691334708,0.146343768044103,0.153751477845616
