Location,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper,Pretrain
L3,R32,R16,0.000239288231662707,0.000678290802811735,1,-0.00177903982151432,0.00225761628483974,Face
L3,R32,R2,-0.0437227885403711,0.010631096227881,0.00195206735278595,-0.0753567715809937,-0.0120888054997485,Face
L3,R32,R4,-0.017518386090082,0.00753765457600442,0.254201697546983,-0.0399474970596592,0.00491072487949505,Face
L3,R32,R8,-0.138889575843995,0.0141855410769175,4.63907749776813e-11,-0.181100196106503,-0.096678955581487,Face
L3,R4,R16,0.0177576743217448,0.00811789919213077,0.347675876204505,-0.00639801760924013,0.0419133662527297,Face
L3,R4,R2,-0.0262044024502891,0.00396194072771046,7.29091881273883e-07,-0.037993587977521,-0.0144152169230571,Face
L3,R4,R32,0.017518386090082,0.00753765457600442,0.254201697546983,-0.00491072487949505,0.0399474970596592,Face
L3,R4,R8,-0.121371189753913,0.00850973321029227,4.6375054313678e-16,-0.14669282642094,-0.0960495530868853,Face
L3,R8,R16,0.139128864075657,0.0146566446451736,1.09493743354913e-10,0.0955164239096192,0.182741304241696,Face
L3,R8,R2,0.0951667873036237,0.00539534784216108,3.47865086796582e-19,0.0791123430131497,0.111221231594098,Face
L3,R8,R32,0.138889575843995,0.0141855410769175,4.63907749776813e-11,0.096678955581487,0.181100196106503,Face
L3,R8,R4,0.121371189753913,0.00850973321029227,4.6375054313678e-16,0.0960495530868853,0.14669282642094,Face
L1,R16,R2,-0.126458232158163,0.0156573590083635,7.48253330055048e-09,-0.173048406747359,-0.0798680575689681,Object
L1,R16,R32,-0.0635609592604627,0.0139455782869793,0.000499913773988591,-0.105057544143686,-0.0220643743772395,Object
L1,R16,R4,-0.0485874306697345,0.0106042306828858,0.000463895361628786,-0.0801414723593866,-0.0170333889800824,Object
L1,R16,R8,-0.00527769987094276,0.00671255923026441,1,-0.0252516499037216,0.0146962501618361,Object
L1,R2,R16,0.126458232158163,0.0156573590083635,7.48253330055048e-09,0.0798680575689681,0.173048406747359,Object
L1,R2,R32,0.0628972728977008,0.00337091992831571,4.87090232761782e-20,0.0528667340371856,0.0729278117582159,Object
L1,R2,R4,0.0778708014884289,0.0226560981006279,0.0141135552156274,0.0104551175627837,0.145286485414074,Object
L1,R2,R8,0.121180532287221,0.0106614269025771,6.03017183623809e-13,0.0894562970253424,0.152904767549099,Object
L1,R32,R16,0.0635609592604627,0.0139455782869793,0.000499913773988591,0.0220643743772395,0.105057544143686,Object
L1,R32,R2,-0.0628972728977008,0.00337091992831571,4.87090232761782e-20,-0.0729278117582159,-0.0528667340371856,Object
L1,R32,R4,0.0149735285907282,0.0213167398126721,1,-0.0484567490834531,0.0784038062649095,Object
L1,R32,R8,0.0582832593895199,0.00856120349166867,3.93838772376029e-07,0.0328084673024628,0.083758051476577,Object
L1,R4,R16,0.0485874306697345,0.0106042306828858,0.000463895361628786,0.0170333889800824,0.0801414723593866,Object
L1,R4,R2,-0.0778708014884289,0.0226560981006279,0.0141135552156274,-0.145286485414074,-0.0104551175627837,Object
L1,R4,R32,-0.0149735285907282,0.0213167398126721,1,-0.0784038062649095,0.0484567490834531,Object
L1,R4,R8,0.0433097307987917,0.0156278103664198,0.0851102581357142,-0.0031925185926549,0.0898119801902384,Object
L1,R8,R16,0.00527769987094276,0.00671255923026441,1,-0.0146962501618361,0.0252516499037216,Object
L1,R8,R2,-0.121180532287221,0.0106614269025771,6.03017183623809e-13,-0.152904767549099,-0.0894562970253424,Object
L1,R8,R32,-0.0582832593895199,0.00856120349166867,3.93838772376029e-07,-0.083758051476577,-0.0328084673024628,Object
L1,R8,R4,-0.0433097307987917,0.0156278103664198,0.0851102581357142,-0.0898119801902384,0.0031925185926549,Object
L2,R16,R2,-0.0328218756642547,0.00429830480121385,2.91619901595393e-08,-0.0456119490744102,-0.0200318022540991,Object
L2,R16,R32,-0.0233883719357778,0.00324874506598397,1.14347661458248e-07,-0.0330553662059565,-0.0137213776655992,Object
L2,R16,R4,-0.019843301103913,0.0194363019956718,1,-0.0776781315413432,0.0379915293335172,Object
